record_id,docket_entry,attachment_number,filed_date_iso,filed_date_display,docket_description,document_label,document_type,file_name,public_access_status,page_count_exact,pacer_billable_pages_estimate,page_count_note,size_bytes,sha256,sha1,md5,pdf_encrypted,pdf_title,pdf_author,pdf_subject,pdf_creator,pdf_producer,pdf_creation_date,pdf_modified_date,best_available_pdf_url,recap_pdf_url,internet_archive_url,courtlistener_document_url,pacer_pdf_url,pacer_price_display,pacer_price_usd,source_docket_url
0008,8,0,2024-07-26,"Jul 26, 2024","Notice of Request by Pro Hac Vice Peter A. Barile III to receive Notices of Electronic Filings. ( Pro Hac Vice fee $ 250 receipt number ANJDC-15546436.) (ST. PHILLIP, PETER) (Entered: 07/26/2024)",Main Document,Notice of Pro Hac Vice to Receive NEF,,PACER_LINK_AVAILABLE,,,Price not displayed; page count unknown.,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119021581484?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021581484?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0009,9,0,2024-07-29,"Jul 29, 2024",,Main Document,Notice of Appearance,,PACER_LINK_AVAILABLE,,,Price not displayed; page count unknown.,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119021585988?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021585988?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0010,10,0,2024-07-29,"Jul 29, 2024",,Main Document,Notice of Appearance,,PACER_LINK_AVAILABLE,,,Price not displayed; page count unknown.,,,,,,,,,,,,,https://ecf.njd.uscourts.gov/doc1/119021588231?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021588231?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0011,11,0,2024-08-05,"Aug 5, 2024","NOTICE of Appearance by LUKE MCGUIRE on behalf of APPLE, INC. (MCGUIRE, LUKE) (Entered: 08/05/2024)",Main Document,Notice of Appearance,"0011. (08-05-2024) NOTICE of Appearance by LUKE MCGUIRE on behalf of APPLE, INC.pdf",PACER_LINK_AVAILABLE,1,,Exact local PDF page count.,145718,d4ee0fd56524a8c9754786a5e012bbb607de8a3a6761e5a3fd4337c0532bc699,b45d43a789fadebe7e778e327f2cff10e3486a59,3aaa9f9e6011e131e2e810c2f4168587,False,Appearance of Counsel,US Courts,,PScript5.dll Version 5.2.2,Acrobat Distiller 20.0 (Windows); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240805205831-04'00',D:20240805212100-04'00',https://ecf.njd.uscourts.gov/doc1/119021612176?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021612176?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0012,12,0,2024-08-05,"Aug 5, 2024","NOTICE of Appearance by WINN ALLEN on behalf of APPLE, INC. (ALLEN, WINN) (Entered: 08/05/2024)",Main Document,Notice of Appearance,"0012. (08-05-2024) NOTICE of Appearance by WINN ALLEN on behalf of APPLE, INC.pdf",PACER_LINK_AVAILABLE,1,,Exact local PDF page count.,145105,d335d101b02f577b9491d7d2b5a7ab22923b809d30c49de9b14084ff4a3fbb13,4be2bea41efb14292abc164fdd05471601f480db,f73e6bfae3df234cf9d9a563cd504250,False,Appearance of Counsel,US Courts,,PScript5.dll Version 5.2.2,Acrobat Distiller 20.0 (Windows); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240805211426-04'00',D:20240805212231-04'00',https://ecf.njd.uscourts.gov/doc1/119021612179?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021612179?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0013,13,0,2024-08-05,"Aug 5, 2024","NOTICE of Appearance by CRAIG PRIMIS on behalf of APPLE, INC. (PRIMIS, CRAIG) (Entered: 08/05/2024)",Main Document,Notice of Appearance,"0013. (08-05-2024) NOTICE of Appearance by CRAIG PRIMIS on behalf of APPLE, INC.pdf",PACER_LINK_AVAILABLE,1,,Exact local PDF page count.,144554,4d0684f071cf0565a78cb0787a3064129e009f1bcf8574ec0efd3d1c5ad6fde7,ed44ff7abde9567dca2d2986352259fe99f31247,1e08acdbb2d0e2e875b3ed78bba61cf0,False,Appearance of Counsel,US Courts,,PScript5.dll Version 5.2.2,Acrobat Distiller 20.0 (Windows); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240805210140-04'00',D:20240805212529-04'00',https://ecf.njd.uscourts.gov/doc1/119021612185?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021612185?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0014,14,0,2024-08-05,"Aug 5, 2024","NOTICE of Appearance by MARY ELIZABETH MILLER on behalf of APPLE, INC. (MILLER, MARY) (Entered: 08/05/2024)",Main Document,Notice of Appearance,"0014. (08-05-2024) NOTICE of Appearance by MARY ELIZABETH MILLER on behalf of APPLE, INC.pdf",PACER_LINK_AVAILABLE,1,,Exact local PDF page count.,146177,e8ed615ff585f498c9cf859dae6f80caae5ade3b631324d0b077cf48a0437395,85c707a97dbfb1af746a082be1dee3caf18a4c45,5f03da48ce27a9874fcaae3c4a9c03a5,False,Appearance of Counsel,US Courts,,PScript5.dll Version 5.2.2,Acrobat Distiller 20.0 (Windows); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240805210109-04'00',D:20240805212615-04'00',https://ecf.njd.uscourts.gov/doc1/119021612188?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021612188?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0015,15,0,2024-08-05,"Aug 5, 2024","NOTICE of Appearance by DEVORA WHITMAN ALLON on behalf of APPLE, INC. (ALLON, DEVORA) (Entered: 08/05/2024)",Main Document,Notice of Appearance,"0015. (08-05-2024) NOTICE of Appearance by DEVORA WHITMAN ALLON on behalf of APPLE, INC.pdf",FREE_RECAP_PDF_AVAILABLE,1,1,Exact local PDF page count.,145575,9f3f458cf871ff6863b5689965655160888ee7178bd3b2518abb35b6c9b9769e,bc1687a96c0bcf19caa1ebba1357e392896059f9,335f96550b3ef1f62796bbcde4d051f9,False,Appearance of Counsel,US Courts,,PScript5.dll Version 5.2.2,Acrobat Distiller 20.0 (Windows); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240805211607-04'00',D:20240805212827-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.15.0_2.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.15.0_2.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.15.0.pdf,https://www.courtlistener.com/docket/68869775/15/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021612191?caseid=550383,$0.10,0.10,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0016,16,0,2024-08-05,"Aug 5, 2024","NOTICE of Appearance by MATTHEW REILLY on behalf of APPLE, INC. (REILLY, MATTHEW) (Entered: 08/05/2024)",Main Document,Notice of Appearance,"0016. (08-05-2024) NOTICE of Appearance by MATTHEW REILLY on behalf of APPLE, INC.pdf",PACER_LINK_AVAILABLE,1,,Exact local PDF page count.,144935,0390435c3ae6d92e96599f424452c5b8817ecefa4a0a39a1fca64424d5dd06ec,c7789e4131f208e8e4cc5a3269fc154883134ddb,4971143709303f6c4a12835b3a7427ae,False,Appearance of Counsel,US Courts,,PScript5.dll Version 5.2.2,Acrobat Distiller 20.0 (Windows); modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240805210012-04'00',D:20240805213215-04'00',https://ecf.njd.uscourts.gov/doc1/119021612194?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021612194?caseid=550383,,,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0017,17,0,2024-08-08,"Aug 8, 2024","BRIEF in Support of Appointment of the Majority Group's Leadership Slate for Direct Iphone Purchaser Plaintiffs Class (see Case Management Order #1, ECF 7) (Attachments: # 1 Exhibit A Hagens Berman Firm Resume, # 2 Exhibit B Girard Sharp Firm Resume, # 3 Exhibit C Seeger Weiss Firm Resume, # 4 Exhibit D Carella Byrne Firm Resume, # 5 Exhibit E CPM Firm Resume, # 6 Exhibit F Nussbaum Firm Resume, # 7 Exhibit G KTMC Firm Resume, # 8 Exhibit H Kaplan Fox Firm Resume, # 9 Exhibit I Lowey Dannenberg Firm Resume, # 10 Exhibit J Gustafson Gluek Firm Resume, # 11 Exhibit K RGRD Firm Resume, # 12 Exhibit L Keller Rohrback Firm Resume, # 13 Exhibit M Kopelowitz Ostrow Firm Resume, # 14 Exhibit N SHN Firm Resume, # 15 Exhibit O Sperling Slater Firm Resume, # 16 Exhibit P Fine Kaplan Firm Resume, # 17 Text of Proposed Order)(CECCHI, JAMES) (Entered: 08/08/2024)",Main Document,Brief,0017. (08-08-2024) BRIEF in Support of Appointment of the Majority Groups Leadership Slate for Direct Iphone Purchaser.pdf,FREE_RECAP_PDF_AVAILABLE,46,>=30,Exact local PDF page count.,753360,bdf7195080e2117abf9e85b1e45ef58c31a9fcf873236aeb20163a5ba9eddf83,9d58681fb9119668d9be6c3bd71d49a38b5c6a97,21ec67997c0b45dd0d28e21e00fc9c37,False,,,,Acrobat PDFMaker 24 for Word,Adobe PDF Library 24.2.255; modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240808151935-04'00',D:20240808154812-04'00',https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.17.0_1.pdf,https://storage.courtlistener.com/recap/gov.uscourts.njd.550383/gov.uscourts.njd.550383.17.0_1.pdf,https://archive.org/download/gov.uscourts.njd.550383/gov.uscourts.njd.550383.17.0.pdf,https://www.courtlistener.com/docket/68869775/17/shoshi-goldfus-v-apple-inc/,https://ecf.njd.uscourts.gov/doc1/119021622916?caseid=550383,$3.00,3.00,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
0017-001,17,1,2024-08-08,"Aug 8, 2024","BRIEF in Support of Appointment of the Majority Group's Leadership Slate for Direct Iphone Purchaser Plaintiffs Class (see Case Management Order #1, ECF 7) (Attachments: # 1 Exhibit A Hagens Berman Firm Resume, # 2 Exhibit B Girard Sharp Firm Resume, # 3 Exhibit C Seeger Weiss Firm Resume, # 4 Exhibit D Carella Byrne Firm Resume, # 5 Exhibit E CPM Firm Resume, # 6 Exhibit F Nussbaum Firm Resume, # 7 Exhibit G KTMC Firm Resume, # 8 Exhibit H Kaplan Fox Firm Resume, # 9 Exhibit I Lowey Dannenberg Firm Resume, # 10 Exhibit J Gustafson Gluek Firm Resume, # 11 Exhibit K RGRD Firm Resume, # 12 Exhibit L Keller Rohrback Firm Resume, # 13 Exhibit M Kopelowitz Ostrow Firm Resume, # 14 Exhibit N SHN Firm Resume, # 15 Exhibit O Sperling Slater Firm Resume, # 16 Exhibit P Fine Kaplan Firm Resume, # 17 Text of Proposed Order)(CECCHI, JAMES) (Entered: 08/08/2024)",Attachment 1,Exhibit A Hagens Berman Firm Resume,0017-001. (08-08-2024) Exhibit A Hagens Berman Firm Resume.pdf,PACER_LINK_AVAILABLE,48,>=30,Exact local PDF page count.,1792301,236b58d7ec771ca026ac22873437e1370c62bc4950dbec8e0925bd4cc7240327,d2794276a581a3852ee63635e3ed21c1d1642558,a8af9a173106fe529fd95a6443de6a5d,False,,Heidi Waggoner,,Acrobat PDFMaker 24 for Word,Adobe PDF Library 24.2.255; modified using iText® 7.1.6 ©2000-2019 iText Group NV (Administrative Office of the United States Courts; licensed version),D:20240808100400-04'00',D:20240808154821-04'00',https://ecf.njd.uscourts.gov/doc1/119021622917?caseid=550383,,,,https://ecf.njd.uscourts.gov/doc1/119021622917?caseid=550383,$3.00,3.00,https://www.courtlistener.com/docket/68869775/apple-inc-smartphone-antitrust-litigation/
